 PageNo, Speed, Length, RealPower, SetFrequency, SetDuty, SetPower, GateOnTime, WorkingTime
1,250,241.1,1660,1000,100,82,1154, 2022-02-11 09:12:28.065
2,250,241.2,1685,1000,100,83,1670, 2022-02-11 09:12:31.355
3,250,241.1,1666,1000,100,82,1153, 2022-02-11 09:12:34.187
4,250,241.2,1690,1000,100,83,1670, 2022-02-11 09:12:37.429
5,250,241.1,1670,1000,100,82,1154, 2022-02-11 09:12:40.189
6,250,241.2,1693,1000,100,83,1670, 2022-02-11 09:12:43.509
7,250,241.1,1669,1000,100,82,1153, 2022-02-11 09:12:49.277
8,250,241.2,1694,1000,100,83,1670, 2022-02-11 09:12:52.547
9,250,241.1,1673,1000,100,82,1154, 2022-02-11 09:12:55.389
10,250,241.2,1695,1000,100,83,1670, 2022-02-11 09:12:58.755
11,250,241.1,1675,1000,100,82,1154, 2022-02-11 09:13:01.615
12,250,241.2,1698,1000,100,83,1670, 2022-02-11 09:13:04.827
13,30,19.4,682,1000,100,38,650, 2022-02-11 09:13:09.307
14,30,19.4,680,1000,100,38,650, 2022-02-11 09:13:11.019
15,30,19.4,682,1000,100,38,650, 2022-02-11 09:13:13.949
16,30,19.4,680,1000,100,38,650, 2022-02-11 09:13:17.335
17,30,19.4,680,1000,100,38,650, 2022-02-11 09:13:19.101
18,30,19.4,680,1000,100,38,650, 2022-02-11 09:13:20.805
19,250,241.1,1689,1000,100,83,1670, 2022-02-11 09:13:41.227
20,250,241.2,1671,1000,100,82,1154, 2022-02-11 09:13:43.807
21,250,241.1,1695,1000,100,83,1670, 2022-02-11 09:13:47.243
22,250,241.2,1674,1000,100,82,1154, 2022-02-11 09:13:49.983
23,250,241.1,1697,1000,100,83,1670, 2022-02-11 09:13:53.453
24,250,241.2,1677,1000,100,82,1154, 2022-02-11 09:13:56.171
25,250,241.1,1695,1000,100,83,1670, 2022-02-11 09:14:02.597
26,250,241.2,1675,1000,100,82,1154, 2022-02-11 09:14:05.183
27,250,241.1,1699,1000,100,83,1670, 2022-02-11 09:14:08.627
28,250,241.2,1678,1000,100,82,1154, 2022-02-11 09:14:11.315
29,250,241.1,1700,1000,100,83,1670, 2022-02-11 09:14:14.863
30,250,241.2,1679,1000,100,82,1154, 2022-02-11 09:14:17.555
31,30,19.4,682,1000,100,38,650, 2022-02-11 09:14:21.981
32,30,19.4,682,1000,100,38,650, 2022-02-11 09:14:23.493
33,30,19.4,682,1000,100,38,650, 2022-02-11 09:14:26.559
34,30,19.4,682,1000,100,38,650, 2022-02-11 09:14:28.327
35,30,19.4,682,1000,100,38,650, 2022-02-11 09:14:31.859
36,30,19.4,682,1000,100,38,650, 2022-02-11 09:14:33.577
37,30,19.4,682,1000,100,38,650, 2022-02-11 09:14:35.299
38,30,19.4,682,1000,100,38,650, 2022-02-11 09:14:38.289
39,30,19.4,682,1000,100,38,650, 2022-02-11 09:14:39.787
1,250,241.1,1665,1000,100,82,1154, 2022-02-11 09:15:26.139
2,250,241.2,1692,1000,100,83,1670, 2022-02-11 09:15:29.469
3,250,241.1,1671,1000,100,82,1153, 2022-02-11 09:15:32.299
4,250,241.2,1695,1000,100,83,1670, 2022-02-11 09:15:35.541
5,250,241.1,1674,1000,100,82,1154, 2022-02-11 09:15:38.355
6,250,241.2,1698,1000,100,83,1670, 2022-02-11 09:15:41.759
7,250,241.1,1673,1000,100,82,1153, 2022-02-11 09:15:47.549
8,250,241.2,1697,1000,100,83,1670, 2022-02-11 09:15:50.821
9,250,241.1,1677,1000,100,82,1154, 2022-02-11 09:15:53.547
10,250,241.2,1699,1000,100,83,1670, 2022-02-11 09:15:56.831
11,250,241.1,1678,1000,100,82,1154, 2022-02-11 09:15:59.601
12,250,241.2,1702,1000,100,83,1670, 2022-02-11 09:16:02.819
13,30,19.4,682,1000,100,38,650, 2022-02-11 09:16:07.313
14,30,19.4,682,1000,100,38,650, 2022-02-11 09:16:09.011
15,30,19.4,682,1000,100,38,650, 2022-02-11 09:16:11.925
16,30,19.4,682,1000,100,38,650, 2022-02-11 09:16:15.251
17,30,19.4,682,1000,100,38,650, 2022-02-11 09:16:16.991
18,30,19.4,682,1000,100,38,650, 2022-02-11 09:16:18.713
19,250,241.1,1692,1000,100,83,1670, 2022-02-11 09:16:39.087
20,250,241.2,1674,1000,100,82,1154, 2022-02-11 09:16:41.717
21,250,241.1,1697,1000,100,83,1670, 2022-02-11 09:16:45.147
22,250,241.2,1677,1000,100,82,1154, 2022-02-11 09:16:47.923
23,250,241.1,1699,1000,100,83,1670, 2022-02-11 09:16:51.353
24,250,241.2,1678,1000,100,82,1154, 2022-02-11 09:16:54.049
25,250,241.1,1697,1000,100,83,1670, 2022-02-11 09:17:00.513
26,250,241.2,1678,1000,100,82,1154, 2022-02-11 09:17:03.107
27,250,241.1,1700,1000,100,83,1670, 2022-02-11 09:17:06.557
28,250,241.2,1679,1000,100,82,1154, 2022-02-11 09:17:09.229
29,250,241.1,1702,1000,100,83,1670, 2022-02-11 09:17:12.679
30,250,241.2,1680,1000,100,82,1154, 2022-02-11 09:17:15.305
31,30,19.4,682,1000,100,38,650, 2022-02-11 09:17:19.557
32,30,19.4,682,1000,100,38,650, 2022-02-11 09:17:21.055
33,30,19.4,682,1000,100,38,650, 2022-02-11 09:17:24.157
34,30,19.4,682,1000,100,38,650, 2022-02-11 09:17:25.929
35,30,19.4,682,1000,100,38,650, 2022-02-11 09:17:29.351
36,30,19.4,682,1000,100,38,650, 2022-02-11 09:17:31.087
37,30,19.4,682,1000,100,38,650, 2022-02-11 09:17:32.831
38,30,19.4,682,1000,100,38,650, 2022-02-11 09:17:35.891
39,30,19.4,682,1000,100,38,650, 2022-02-11 09:17:37.415
1,250,241.1,1666,1000,100,82,1154, 2022-02-11 09:18:24.326
2,250,241.2,1692,1000,100,83,1670, 2022-02-11 09:18:27.632
3,250,241.1,1673,1000,100,82,1153, 2022-02-11 09:18:30.490
